Facultad,Docente,Código Plan,Carrera,Id Asignatura,Asignatura,Sección,¿Que opina del profesor?,Sentimiento,% Sentimiento,Emocion,% Emocion,Discurso_Odio,Prob_Odio,Prob_Dirigido,Prob_Agresivo
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56017,GESTION DE RIESGOS EN MINERIA,10,buen profesor.,Positivo,0.8798,Alegría,0.6186,No detectado,0.0201,0.0141,0.0145
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56015,ECONOMIA MINERA,10,"buen profesor, debe considerar subir mas el material a la plataforma pero nada mas que decir.",Neutral,0.7083,Otro,0.9961,No detectado,0.0222,0.0095,0.0106
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56015,ECONOMIA MINERA,10,"de positivo tiene mucha trayectoria y tiene dominio de la materia, lo negativo que no prepara bien las clases con antelacion, desinteres en la continuidad de la materia perdida del hilo de las clases anteriores, faltó materia por ver, no uso de las plataformas para subir materia, en ocacionas clases repetitivas, misma materia misma ppt en diferente día.",Negativo,0.9635,Otro,0.8120,No detectado,0.0325,0.0085,0.0150
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,"el profesor tiene una muy buena disposición a resolver dudas, respetuoso con los estudiantes.",Positivo,0.9482,Otro,0.9482,No detectado,0.0144,0.0068,0.0077
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,GE02,GEOLOGÍA PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,"el profesor tiene una muy buena disposición a resolver dudas, respetuoso con los estudiantes.",Positivo,0.9482,Otro,0.9482,No detectado,0.0144,0.0068,0.0077
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,11,excelente profesor.,Positivo,0.9060,Alegría,0.9409,No detectado,0.0124,0.0121,0.0102
FACULTAD DE INGENIERIA Y ARQUITECTURA,FSZL,IM02,INGENIERÍA CIVIL EN MINAS PLAN 2017,56027,EVALUACION Y GESTION DE PROYECTOS,10,excelente profesor y su dominio en los temas son excelentes.,Positivo,0.9745,Alegría,0.8689,No detectado,0.0124,0.0057,0.0085
